,Train Accuracy,Train AUC,Train F1,Train MCC,Train Specificity,Test Accuracy,Test AUC,Test F1,Test MCC,Test Specificity,CV Accuracy,CV Accuracy std,CV AUC,CV AUC std,CV F1,CV F1 std,CV MCC,CV MCC std,CV Specificity,CV Specificity std
Random Forest_Top51,0.935,0.9879,0.9337,0.8708,0.9547,0.79,0.8479,0.785,0.5805,0.8128,0.7589,0.0062,0.822,0.0135,0.7453,0.0095,0.5222,0.0145,0.8111,0.0397
SVM_Top51,0.7776,0.8376,0.7689,0.5567,0.815,0.7922,0.8394,0.7889,0.5848,0.8082,0.7618,0.0248,0.8116,0.0171,0.7509,0.031,0.5269,0.0478,0.8031,0.0351
XGBoost_Top51,0.8061,0.8986,0.7954,0.6156,0.8583,0.8082,0.8537,0.8,0.6185,0.8493,0.7579,0.0051,0.8227,0.0145,0.744,0.0086,0.5202,0.0123,0.811,0.0384
Logistic Regression_Top51,0.7697,0.8451,0.7617,0.5406,0.8031,0.7717,0.8455,0.7717,0.5434,0.7717,0.75,0.0251,0.8109,0.0143,0.7446,0.028,0.5016,0.0503,0.7696,0.0348
MLP_Top51,0.8051,0.8773,0.7938,0.614,0.8602,0.8082,0.8651,0.7981,0.6196,0.8584,0.7579,0.0148,0.823,0.0169,0.748,0.0135,0.518,0.0304,0.7972,0.0341
Random Forest_Top79,0.9291,0.9875,0.9271,0.8596,0.9567,0.7808,0.8493,0.7714,0.5636,0.8219,0.7608,0.0159,0.8245,0.0131,0.7452,0.0111,0.5272,0.0345,0.8229,0.0471
SVM_Top79,0.7717,0.8433,0.7633,0.5447,0.8071,0.79,0.8438,0.79,0.5799,0.79,0.7529,0.0199,0.8057,0.0134,0.7436,0.0182,0.509,0.0407,0.7893,0.0505
XGBoost_Top79,0.813,0.9003,0.8013,0.6304,0.872,0.8014,0.8523,0.7873,0.6081,0.8676,0.7618,0.0205,0.8247,0.0127,0.7463,0.0194,0.5302,0.0436,0.8228,0.0577
Logistic Regression_Top79,0.7579,0.8282,0.7545,0.5159,0.7717,0.7808,0.8586,0.7808,0.5616,0.7808,0.7402,0.0196,0.8089,0.0148,0.7367,0.014,0.4819,0.0395,0.7539,0.0535
MLP_Top79,0.7618,0.8434,0.7526,0.5251,0.7992,0.7945,0.8597,0.7926,0.5891,0.8037,0.75,0.0219,0.8185,0.0145,0.7447,0.018,0.5016,0.0442,0.7716,0.0492
