,Train Accuracy,Train AUC,Train F1,Train MCC,Train Specificity,Test Accuracy,Test AUC,Test F1,Test MCC,Test Specificity,CV Accuracy,CV Accuracy std,CV AUC,CV AUC std,CV F1,CV F1 std,CV MCC,CV MCC std,CV Specificity,CV Specificity std
Random Forest_Top42,0.9813,0.9993,0.8546,0.8539,0.9994,0.6667,0.8448,0.5,0.4472,1.0,0.9409,0.0034,0.8152,0.0336,0.4512,0.0397,0.4568,0.0386,0.9885,0.0023
SVM_Top42,0.9572,0.9646,0.611,0.6291,0.9963,0.6644,0.7865,0.5017,0.4341,0.9909,0.938,0.0025,0.7615,0.0292,0.4103,0.0341,0.4198,0.0289,0.9884,0.0034
XGBoost_Top42,0.9552,0.9658,0.5873,0.6076,0.996,0.6781,0.8577,0.5316,0.4565,0.9909,0.9442,0.0047,0.8286,0.0111,0.4811,0.0494,0.4917,0.0501,0.9904,0.0036
Logistic Regression_Top42,0.9416,0.8287,0.397,0.4397,0.9949,0.6256,0.8729,0.4143,0.3627,0.9863,0.9406,0.0038,0.8117,0.014,0.3877,0.0579,0.4258,0.0546,0.9941,0.0011
MLP_Top42,0.9466,0.8662,0.4833,0.5096,0.9941,0.6575,0.8619,0.4863,0.4227,0.9909,0.9429,0.0058,0.8232,0.0132,0.4337,0.0765,0.4612,0.0744,0.9932,0.0025
Random Forest_Top72,0.9749,0.9989,0.7934,0.7987,0.9995,0.6575,0.8583,0.4863,0.4227,0.9909,0.9433,0.0038,0.8214,0.0239,0.4545,0.043,0.4738,0.0442,0.9919,0.0023
SVM_Top72,0.9577,0.9697,0.6103,0.633,0.9972,0.6689,0.7822,0.5118,0.4416,0.9909,0.9397,0.0039,0.7673,0.0273,0.422,0.0591,0.4353,0.0512,0.9896,0.0029
XGBoost_Top72,0.9578,0.9711,0.6142,0.6347,0.9969,0.6598,0.8547,0.4915,0.4265,0.9909,0.945,0.0042,0.8314,0.0108,0.4873,0.0499,0.4997,0.0463,0.991,0.0029
Logistic Regression_Top72,0.9427,0.8416,0.4209,0.4574,0.9944,0.6347,0.8735,0.4326,0.3839,0.9909,0.9406,0.0038,0.8161,0.0169,0.4036,0.0535,0.4326,0.0497,0.9927,0.0021
MLP_Top72,0.944,0.8548,0.4331,0.4728,0.9952,0.6324,0.854,0.4311,0.3749,0.9863,0.9407,0.006,0.8286,0.0117,0.4351,0.0496,0.451,0.0611,0.9901,0.0052
